review_id,reviews.title,reviews.text,reviews.rating,sentiment_rating,human_sentiment,human_category,annotator,notes
R00951,Love it!,I love my tap. It sounds great and is so easy to use.,5,Positive,Positive,Other,Sudha,
R00963,Amazon tap is great,Is it operate my wife loves it my granddaughter knows how to operate a good sounding Bluetooth speaker great freedom it even tells knock knock jokes in makes my granddaughter crack up that makes it worth every penny I paid useful to recommend to anybody,5,Positive,Positive,Other,Sudha,
R00389,"Great basic tablet for Amazon fans 9,","As a background, I am a retired Information Systems professional and I am writing my first impressions of the NEW Fire HD 8 released on September 21, 2016 from the perspective of being a long-term Kindle user. I have all the current e-readers and Fire devices from Amazon including the basic Kindle, the Paperwhite (2013,2014,2015 models), the Fire HD6, Fire HD7, Fire HDX7 and Fire HDX8.9 (3rd and 4th generation), the old Fire HD 8 and the Fire HD 10. Here is a summary of my initial impressions of the new Fire HD8.Amazon has replaced the original HD 8 released in 2015 with an All-New HD 8. Amazon is also removing the Fire HD6, which is a shame as it is a great little tablet.The new HD 8 differs from the old version as follows:BEST NEW FEATURE:The price has been reduced! The 16 GB version of the old device cost 169.99 with special offers (ads). The new 16 GB version costs 89.99 and you can get a 32 HB version for 30 more.SECRETLY REMOVED:Amazon has removed the ability to mirror your display on Miracast devices such as TVs. Now that feature is now only available on generation 4 and 5 Fires including last years HD 8. However, you can still cast Prime videos to a FireTV or Fire Stick.WHAT COMES IN THE BOX:The HD8 Fire, a short 3-foot USB cord and a power adapter so you can charge and use the device right out of the box.SIZE:The new HD8 is a fraction thicker than the 2015 HD8. Leather cases for the old HD 8 will fit the new HD 8 but hard shell cases will not. However the auto wake feature of some older cases won't work.One complaint I had about the earlier versions was that the back was very slick and slippery to hold without a case.Read more",5,Positive,Positive,Other,Sudha,Duplicate
R00602,Great product,Works just like echo but portable!! Great stuff. As described!,5,Positive,Positive,Other,Sudha,
R00116,"No big improvement in the 2015 model 10,","Review updated September 17, 2015As a background, I am a retired Information Systems professional and I am writing this review from the perspective of being a long-time Kindle user. I have all the current e-readers and Fire devices from Amazon including the basic Kindle, the 2013, 2014 and new 2015 Paperwhite, the Fire HD6, Fire HD7, Fire HDX7 and Fire HDX8.9. This review is for the 2015 All-New Kindle Paperwhite. The attached picture shows the 2014 Kindle on the left and the new 2015 Kindle on the right. Here is the summary of my initial impressions of the 2015 model versus the 2014 model.I am somewhat disappointed in the 2015 version as there is not a huge improvement over last years model. The Paperwhite made many improvements from its original first generation 2012 model to its second generation 2013 model, especially in the display and processor area. The 2013 model came with 2 GB storage, a wonderful display, a great battery and was the e-book workhorse. The second generation 2014 model changed by only increasing storage to 4 GB. The third generation 2015 model increased the display resolution but reduced the battery life slightly.WHAT COMES IN THE BOX: A Paperwhite device, a quick-start guide and a short USB cord. Amazon still does not supply a power adapter.SIZE: Its the same identical size as the older Paperwhites. The weight has been reduced slightly from 7.3 to 7.2 ounces, a fraction of an ounce, most likely because of a smaller battery.The good news is that all cases that fit the other Paperwhites will fit the 2015 version!!DISPLAY: The resolution has been bumped up to 300 ppi, equivalent to the Voyage.Read more",5,Positive,Positive,Other,Sudha,Duplicate
R00199,"I like it Amazon...But this is IMPORTANT 5,862 people found this helpful. Was this review helpful to you Yes No An Amazon.com official commented on this review","An Amazon.com official commented on this review(What's this) The Amazon team saysJuly 30, 2014Hi Dallas, thank you for sharing your feedback. We wanted to let you know that we made it easier to find your favorite Prime content with the click of your remote. You can now browse many more Prime-only categories, including Top Prime TV, Top Prime Movies, Prime TV for Kids, Prime Movies for Kids, Prime TV by Genre, and Prime Movies by Genre.",4,Positive,Positive,Other,Sudha,Duplicate
R00489,Tap Alexa on the go!,"It was just a few weeks ago that I was bemoaning the fact that I did not scoop up an Echo back when they were being released last year. Not only could it be had at nearly half off the current price, but it came with a voice remote and we could have had a year longer using this amazing device...Well, here I am, a year late to the game and I can now proudly say that I own both an Echo and this new little Tap! Can I just say that I am OBSESSED with all things Echo and Alexa. These are devices that you may not realize how much you'll use it until you've given them a try.I have been spending the last few years getting our home automated. I currently use a combination of Smartthings, IFTTT and Logitech Harmony to control the home. Alexa fits right into the middle of all that and gives us the ability to control our home via voice. For me, this is the killer feature. I can integrate all three parts of our home control right into Echo/Tap and make our house even smarter with very minimal setup.Read more",5,Positive,Positive,Other,Sudha,
R00862,Great product,The product it amazing love that it turns in lights on and plays my favorite music.,5,Positive,Positive,Other,Sudha,
R00657,Good,"Good, but not overall as capable or comprehensive as I was hoping. Will continue to explore capabilities and Apps.",4,Positive,Positive,Other,Sudha,
R00119,"No big improvement in the 2015 model 10,","Review updated September 17, 2015As a background, I am a retired Information Systems professional and I am writing this review from the perspective of being a long-time Kindle user. I have all the current e-readers and Fire devices from Amazon including the basic Kindle, the 2013, 2014 and new 2015 Paperwhite, the Fire HD6, Fire HD7, Fire HDX7 and Fire HDX8.9. This review is for the 2015 All-New Kindle Paperwhite. The attached picture shows the 2014 Kindle on the left and the new 2015 Kindle on the right. Here is the summary of my initial impressions of the 2015 model versus the 2014 model.I am somewhat disappointed in the 2015 version as there is not a huge improvement over last years model. The Paperwhite made many improvements from its original first generation 2012 model to its second generation 2013 model, especially in the display and processor area. The 2013 model came with 2 GB storage, a wonderful display, a great battery and was the e-book workhorse. The second generation 2014 model changed by only increasing storage to 4 GB. The third generation 2015 model increased the display resolution but reduced the battery life slightly.WHAT COMES IN THE BOX: A Paperwhite device, a quick-start guide and a short USB cord. Amazon still does not supply a power adapter.SIZE: Its the same identical size as the older Paperwhites. The weight has been reduced slightly from 7.3 to 7.2 ounces, a fraction of an ounce, most likely because of a smaller battery.The good news is that all cases that fit the other Paperwhites will fit the 2015 version!!DISPLAY: The resolution has been bumped up to 300 ppi, equivalent to the Voyage.Read more",5,Positive,Positive,Other,Sudha,Duplicate
R00929,Great Sound and cheaper than the Echo,"I love everything about it.... it is portable, sounds better than most portable speakers, and Alexa rocks it. Only thing that kept it from a 5 star rating is that you have to manually activate Alexa. Wish it would work like the Echo and Dot, while it is on its base.",4,Positive,Positive,Feature request,Sudha,
R00369,Great case with minor design flaws,"I love everything about this case except for how it fits on the Echo Dot. I was expecting a snug fit however, it is very lose and so you have to make sure that if you pick it up to move it (and the power cable is disconnected), the dot will fall out of the case.",4,Positive,Positive,Other,Sudha,
R00662,Very good bluetooth speaker,Very easy to setup and use. Still learning to maximize the usage. The instructio is too simple and not cover much using Alexa .,4,Positive,Positive,Other,Sudha,
R00240,"because I like it, but feel it's overpriced","According to the info, the Paperwhite charges faster with the charger made for a Kindle but I think any brand will work. It came in a package deal when I bought my Paperwhite otherwise I would've skipped it used what I've been using for my old Kindle. I gave it 4 stars, because I like it, but feel it's overpriced.",4,Positive,Positive,Price complaint,Sudha,
